	zh_tw	zh	en
i18n_ServCloud_ServTrackManagement_000178	班次天	班次天	Shift date
i18n_ServCloud_ServTrackManagement_000179	標工(分)	标工(分)	Product cycle time per unit (minute)
i18n_ServCloud_ServTrackManagement_000180	或按我	或按我	Or press me
i18n_ServCloud_ServTrackManagement_000181	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000182	將 .csv 的檔案拖曳至此	将 .csv 的档案拖曳至此	Drag the CSV file to here
i18n_ServCloud_ServTrackManagement_000183	各線應生產工時上傳結果	各线应生产工时上传结果	Production line required working hours upload result
i18n_ServCloud_ServTrackManagement_000184	各線應生產工時	各线应生产工时	Production line required working hours
i18n_ServCloud_ServTrackManagement_000185	不良原因名稱	不良原因名称	Defective reason
i18n_ServCloud_ServTrackManagement_000186	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000187	不良原因代碼	不良原因代码	Defective reason code
i18n_ServCloud_ServTrackManagement_000188	下載上傳範例	下载上传范例	Download example of upload
i18n_ServCloud_ServTrackManagement_000189	上傳檔名應為 .csv	上传档名应为 .csv	Upload file name should be .csv
i18n_ServCloud_ServTrackManagement_000190	上傳基本資料	上传基本资料	Upload basic information
i18n_ServCloud_ServTrackManagement_000191	說明	说明	Description
i18n_ServCloud_ServTrackManagement_000192	派工單上傳結果	派工单上传结果	Work order upload result
i18n_ServCloud_ServTrackManagement_000193	上傳派工資料	上传派工资料	Upload work order information
i18n_ServCloud_ServTrackManagement_000194	上傳派工單	上传派工单	Upload work order
i18n_ServCloud_ServTrackManagement_000195	請輸入預估產量	请输入预估产量	Please input the estimated production quantity
i18n_ServCloud_ServTrackManagement_000196	請輸入初始投入量	请输入初始投入量	Please input the first input amount
i18n_ServCloud_ServTrackManagement_000197	禁止使用以下特殊符號 , " < > 以及全形/半形空白	禁止使用以下特殊符号 , " < > 以及全形/半形空白	Prohibit to use the following special symbols:  , " < > fullwidth and halfwidth blank
i18n_ServCloud_ServTrackManagement_000198	有產品使用此製程無法關閉	有产品使用此制程无法关闭	Production process can not be deactivated before disconnecting with product
i18n_ServCloud_ServTrackManagement_000199	製程不良原因	制程不良原因	Production process defective reason
i18n_ServCloud_ServTrackManagement_000200	時數不可小於0	时数不可小于0	No less than 0 hour
i18n_ServCloud_ServTrackManagement_000201	已有進出站記錄的工序，無法進行修改或刪除	已有进出站记录的工序，无法进行修改或删除	The production process with move-in or move-out record can not be deleted or modified
i18n_ServCloud_ServTrackManagement_000202	例外錯誤，請聯絡系統管理員	例外错误，请联络系统管理员	Exception error, please contact system administrator
i18n_ServCloud_ServTrackManagement_000203	請輸入正整數(不包括0)	请输入正整数(不包括0)	Please input positive integer (Not including "0")
i18n_ServCloud_ServTrackManagement_000204	編輯	编辑	Edit
i18n_ServCloud_ServTrackManagement_000205	刪除	删除	Delete
i18n_ServCloud_ServTrackManagement_000206	功能說明 : 新增要計入稼動率的班次日期與應工作時數，並可依各線別調整任意日期之工作時數	功能说明 : 新增要计入稼动率的班次日期与应工作时数，并可依各线别调整任意日期之工作时数	Function explanation: Add the shift date and working hours that need to be included in utilization. The date and working hours can also be adjusted upon specific production line.
i18n_ServCloud_ServTrackManagement_000207	已結案	已结案	Closed
i18n_ServCloud_ServTrackManagement_000208	驗證成功	验证成功	Verification success
i18n_ServCloud_ServTrackManagement_000209	找不到授權文件	找不到授权文件	Can\'t find the authorization file
i18n_ServCloud_ServTrackManagement_000210	授權碼不匹配	授权码不匹配	The authorization code doesn\'t match
i18n_ServCloud_ServTrackManagement_000211	資料已建立過，是否確認覆蓋	资料已建立过，是否确认覆盖	working hours had been defined before, want to change the original setting?
i18n_ServCloud_ServTrackManagement_000212	請重新操作一次	请重新操作一次	Please set up the working hours again
i18n_ServCloud_ServTrackManagement_000213	是	是	Yes
i18n_ServCloud_ServTrackManagement_000214	否	否	No
i18n_ServCloud_ServTrack_Simulator	行動報工站模擬器	行动报工站模拟器	ServTrack Simulator
